id,index,label,kind,use_scene,icon_name,flag_names,official_source,visual_family,drawing_brief,replacement_state,art_status,runtime_bitmap_symbol,runtime_encoding,acceptance_rule,official_coverage,replacement_contract
CAT-014,14,FRIES,food,snack,icon_4,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `FRIES` as a 16x16 snack silhouette with compact object readability; key cue: fries box with vertical strips.,needs_final_art,official section scene only,kCatalogEntryBitmaps[14],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-015,15,HAMBURGER,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `HAMBURGER` as a 16x16 meal silhouette with plate/bowl readability; key cue: stacked bun/patty layers.,needs_final_art,official section scene only,kCatalogEntryBitmaps[15],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-016,16,HOT DOG,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `HOT DOG` as a 16x16 meal silhouette with plate/bowl readability; key cue: bun/sausage silhouette when paired with DOG; bun/sausage silhouette when paired with HOT or CORN.,needs_final_art,official section scene only,kCatalogEntryBitmaps[16],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-017,17,MELON,food,snack,icon_7,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `MELON` as a 16x16 snack silhouette with compact object readability; key cue: round melon with stripe cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[17],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-018,18,NOODLE,food,meal,icon_2,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `NOODLE` as a 16x16 meal silhouette with plate/bowl readability; key cue: bowl with noodle line cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[18],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-019,19,OMELET,food,meal,icon_3,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `OMELET` as a 16x16 meal silhouette with plate/bowl readability; key cue: oval plate/egg cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[19],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-020,20,PASTA,food,meal,icon_2,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `PASTA` as a 16x16 meal silhouette with plate/bowl readability; key cue: plate with fork/noodle line cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[20],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-021,21,PEAR,food,snack,icon_7,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `PEAR` as a 16x16 snack silhouette with compact object readability; key cue: pear body with small stem.,needs_final_art,official section scene only,kCatalogEntryBitmaps[21],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-022,22,PINEAPPLE,food,snack,icon_7,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `PINEAPPLE` as a 16x16 snack silhouette with compact object readability; key cue: pineapple body with crown.,needs_final_art,official section scene only,kCatalogEntryBitmaps[22],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-023,23,ROLL CAKE,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `ROLL CAKE` as a 16x16 snack silhouette with compact object readability; key cue: rolled cake spiral cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[23],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-024,24,ICE CREAM,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `ICE CREAM` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[24],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-025,25,SODA,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `SODA` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[25],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-026,26,WAFFLE,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `WAFFLE` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[26],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-027,27,SUNDAE,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `SUNDAE` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[27],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-028,28,SHAVED ICE,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `SHAVED ICE` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[28],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-029,29,PIZZA,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `PIZZA` as a 16x16 meal silhouette with plate/bowl readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[29],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-030,30,SWEET POTATO,food,snack,icon_0,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `SWEET POTATO` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[30],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-031,31,MILK,food,meal,icon_3,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `MILK` as a 16x16 meal silhouette with plate/bowl readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[31],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-032,32,JUICE,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `JUICE` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[32],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-033,33,GRAPES,food,snack,icon_7,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `GRAPES` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[33],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-034,34,CANDY,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `CANDY` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[34],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-035,35,POPCORN,food,snack,icon_4,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `POPCORN` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[35],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-036,36,GUM,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `GUM` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[36],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-037,37,DANGO,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `DANGO` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[37],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-038,38,CREAM PUFF,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `CREAM PUFF` as a 16x16 snack silhouette with compact object readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[38],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-039,39,ENERGY DRINK,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `ENERGY DRINK` as a 16x16 snack silhouette with compact object readability; key cue: bottle/can cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[39],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-040,40,SAUSAGE,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `SAUSAGE` as a 16x16 meal silhouette with plate/bowl readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[40],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-041,41,SAUSAGE,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `SAUSAGE` as a 16x16 meal silhouette with plate/bowl readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[41],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-042,42,CHIKUWA,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `CHIKUWA` as a 16x16 meal silhouette with plate/bowl readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[42],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-043,43,ESCARGOT,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `ESCARGOT` as a 16x16 meal silhouette with plate/bowl readability matching its gameplay/use semantic.,needs_final_art,official section scene only,kCatalogEntryBitmaps[43],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
