id,index,label,semantic_source,visual_family,drawing_brief,replacement_state,art_status,runtime_bitmap_symbol,runtime_encoding,acceptance_rule,official_coverage,replacement_contract
SOU-033,33,ANNIV 4,password_secret,password/secret code memory,Draw `ANNIV 4` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[33],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-034,34,ANNIV 5,password_secret,password/secret code memory,Draw `ANNIV 5` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[34],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-035,35,CARE GOOD,nurture_training,discipline/training memory,Draw `CARE GOOD` as a 16x16 discipline/training memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[35],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-036,36,CARE HARD,nurture_training,discipline/training memory,Draw `CARE HARD` as a 16x16 discipline/training memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[36],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-037,37,SICK DAY,nurture_medicine,medicine/recovery memory,Draw `SICK DAY` as a 16x16 medicine/recovery memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[37],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-038,38,TOOTH FIX,nurture_medicine,medicine/recovery memory,Draw `TOOTH FIX` as a 16x16 medicine/recovery memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[38],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-039,39,NO MESS,nurture_toilet,cleaning/toilet memory,Draw `NO MESS` as a 16x16 cleaning/toilet memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[39],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-040,40,FULL HEART,none,memory/souvenir object,Draw `FULL HEART` as a 16x16 memory/souvenir object tied to the named memory.,needs_final_art,no direct official semantic candidate in cached how-to assets,kSouvenirMemoryBitmaps[40],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute; no direct cached official row,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-041,41,FULL FOOD,nurture_food,food or feeding memory,Draw `FULL FOOD` as a 16x16 food or feeding memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[41],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-042,42,FULL TRAIN,nurture_training,discipline/training memory,Draw `FULL TRAIN` as a 16x16 discipline/training memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[42],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-043,43,HEAVY WIN,games,game prize or medal memory,Draw `HEAVY WIN` as a 16x16 game prize or medal memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[43],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-044,44,LIGHT SLEEP,nurture_lights,lights/sleep memory,Draw `LIGHT SLEEP` as a 16x16 lights/sleep memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[44],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-045,45,WAKE SMILE,nurture_lights,lights/sleep memory,Draw `WAKE SMILE` as a 16x16 lights/sleep memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[45],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-046,46,TOY PLAY,shop_items,shop item memory,Draw `TOY PLAY` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[46],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-047,47,BOOK DAY,shop_items,shop item memory,Draw `BOOK DAY` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[47],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-048,48,MUSIC DAY,shop_items,shop item memory,Draw `MUSIC DAY` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[48],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
