id,backlog_id,section,backlog_line,task,gate,status_class,domain,blocker_type,open_need,evidence_class,confidence_gate,acceptance_gate,candidate_source_ids,implementation_hints,replacement_action,current_status
SRC-011,P8.03b,P8 Animation Contracts,170,Route medicine sick/tooth/dose/wait/recover/refuse visible feedback.,CODE/UI,CODED-SUBSTITUTE,medicine_sickness,mixed_source_hardware,Medicine cure odds/timing plus hardware readability proof.,exact source value plus T-Echo-Lite photo/video or timing observation,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,OFF-MANUAL; WIKI-SICKNESS; WIKI-DEATH; WIKI-FAQ-2024; HW-TECHO,kMedicineSceneAnimationMs; drawMedicineScene,replace sickness/toothache probability or duration rows,"CODED-SUBSTITUTE: compact bottle, badge, dose trail, recovery, and refusal routing are active and `kMedicineSceneAnimationMs` now keeps the page on explicit scene pacing; official/local GIF timing metadata is included in parity coverage, while cure odds and hardware readability remain open"
SRC-012,P8.03c,P8 Animation Contracts,171,Route food/snack select/bite/crumb/done/refuse visible feedback.,CODE/UI,CODED-SUBSTITUTE,care_timing,mixed_source_hardware,Food bite count/timing plus hardware readability proof.,exact source value plus T-Echo-Lite photo/video or timing observation,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,OFF-MANUAL; WIKI-CARE; WIKI-FAQ-2024; CURL-ENTAMA-CARE; HW-TECHO,kFoodSceneAnimationMs; drawFoodPage,replace stage care timing/stat decay rows,"CODED-SUBSTITUTE: compact selected food, plate, bite travel, crumbs, done/check/heart, and refusal cross routing are active; Meal/Snack pages now use `kFoodSceneAnimationMs` instead of falling through to 2200 ms home idle pacing; official/local GIF timing metadata is included in parity coverage, while bite count and hardware readability remain open"
SRC-013,P8.03d,P8 Animation Contracts,172,Route toilet visible-mess/sweep/progressive-removal/done/no-mess feedback.,CODE/UI,CODED-SUBSTITUTE,care_timing,mixed_source_hardware,"Exact mess interval, sickness effects, and hardware readability proof.",exact source value plus T-Echo-Lite photo/video or timing observation,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,OFF-MANUAL; WIKI-CARE; WIKI-FAQ-2024; CURL-ENTAMA-CARE; HW-TECHO,kToiletSceneAnimationMs; drawToiletScene,replace stage care timing/stat decay rows,"CODED-SUBSTITUTE: compact visible messes, sweep tool, progressive removal, clean slot, done heart/sparkle, and no-mess question branch are active and `kToiletSceneAnimationMs` now keeps the page on explicit scene pacing; official/local GIF timing metadata is included in parity coverage, while exact mess interval, sickness effects, and hardware readability remain open"
SRC-014,P8.03e,P8 Animation Contracts,173,"Route lights ON/OFF selector, low-ink dark-room, sleep/Z, wake, and invalid feedback.",CODE/UI,CODED-SUBSTITUTE,care_timing,mixed_source_hardware,Exact sleep/nap behavior plus hardware whitening/ghosting proof.,exact source value plus T-Echo-Lite photo/video or timing observation,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,do not mark final until both exact source and hardware evidence exist; current substitute must remain labeled substitute,OFF-MANUAL; WIKI-CARE; WIKI-FAQ-2024; CURL-ENTAMA-CARE; HW-TECHO,kLightsSceneAnimationMs; drawLightsScene,replace stage care timing/stat decay rows,"CODED-SUBSTITUTE: compact selector, hatch-pattern dark-room, moon/star marks, sleep/Z, wake, and invalid routing are active and `kLightsSceneAnimationMs` now keeps the page on explicit slow scene pacing; official/local GIF timing metadata is included in parity coverage, while exact sleep/nap behavior and hardware whitening/ghosting remain open"
SRC-015,P9.01,P9 Exact Data Tables,184,Complete source ledger for growth/shop/password/game/death.,SPEC,CODED-SUBSTITUTE,source_data,multi_source,"Ledger-level exact death, poop timing, sale frequency, probability curves, and final pixel-art evidence.",multi-domain exact source evidence plus final art evidence where named,do not mark final until every named source/art evidence stream is closed; current substitute must remain labeled substitute,do not mark final until every named source/art evidence stream is closed; current substitute must remain labeled substitute,OFF-HOWTO; OFF-MANUAL; OFF-CHAR; WIKI-2024; WIKI-ITEM-2024; WIKI-CHAR-2024; WIKI-FAQ-2024; GG-GROWTH-2024; HW-TECHO,CONNECT_SOURCE_LEDGER.md,"update source ledger, code table, and generated audit together","CODED-SUBSTITUTE: ledger now records official/community sources for growth, shop, password, games, death, King donation, and official visual-reference boundaries; exact death thresholds, poop timing, sale frequency, probability curves, and rights-cleared final pixel art remain open"
SRC-016,P9.02,P9 Exact Data Tables,185,Implement table-driven growth model.,DATA/CODE/SIM,CODED,growth_family,mixed_source_hardware,"Exact same-pool route probabilities, matchmaker/senior overlap, transition ordering, and hardware proof.",exact source value plus T-Echo-Lite photo/video or timing observation,do not mark final until both exact source and hardware evidence exist,do not mark final until both exact source and hardware evidence exist,WIKI-CHAR-2024; WIKI-FAQ-2024; GG-GROWTH-2024; HW-TECHO,kGrowthScheduleRules; kAdultGrowthRules; matchmakerNoticeReady; characterTierMaskForStage,replace growth/family timing or probability rows,"CODED: parent-pair child tier selection, child-tier teen transition, adult-tier transition from the transcribed `WIKI-CHAR-2024` Serious/Normal/Naughty/Frail/Stubborn rows, Serious-adult gate requiring both parents unhealthy, special Oyajitchi lineage, generation/tier/gender source-pool character selection, `GrowthScheduleRule` stage thresholds, `FamilyTimingRule` parent/manual-Matchmaker timing, `MatchmakerClockRule` scheduled clock rows, four-adult-day matchmaker eligibility, and FAQ-aligned about-four-adult-day senior transition are explicit code/data table paths; final per-character art, exact same-pool route probabilities, exact matchmaker/senior same-day overlap, edge-case transition ordering, and hardware proof remain open"
SRC-017,P9.03,P9 Exact Data Tables,186,Implement death/pass-away/runaway table.,DATA/CODE/SIM,CODED-SUBSTITUTE,death_passaway,exact_source,Exact 2024 death/pass-away thresholds and wording.,"official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,WIKI-DEATH; WIKI-FAQ-2024; GG-GROWTH-2024; HW-TECHO,kPassAwayRules; checkDeath,replace pass-away threshold rows and regenerate growth coverage,"CODED-SUBSTITUTE: severe neglect, sick+empty-state pass-away, stage-local fourth-sickness pass-away, and elder/Grim substitute rules exist; elder/Grim is constrained to neglect rather than old age alone, but exact 2024 source thresholds and wording remain open"
SRC-018,P9.04,P9 Exact Data Tables,187,Implement stat decay/event table.,DATA/CODE/SIM,CODED-SUBSTITUTE,care_timing,exact_source,"Exact Connection 2024 decay windows, sleep windows, lifecycle timing, toothache short-period length, calendar wording/art, and probability/timing values.","official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,OFF-MANUAL; WIKI-CARE; WIKI-FAQ-2024; CURL-ENTAMA-CARE; HW-TECHO,kStageCareTimingRules; kSicknessTriggerRules; kAttentionTimingRules; kSleepWindowRules,replace stage care timing/stat decay rows,"CODED-SUBSTITUTE: hunger, happiness, and poop now use `kStageCareTimingRules` with Baby 3/5/6, Child 40/45/80, Teen 50/55/100, Adult/Parent 70/75/140, and Elder 80/110/160 pet-minute Hungry/Happy/poop periods from low-confidence cross-version source `CURL-ENTAMA-CARE`; Hungry/Happy also use the sourced Connection-era two-hidden-heart reserve through `kHiddenHeartMeterMax` while the health display remains capped to four visible hearts; energy, hygiene, sickness trigger rows, attention timing rows, stage sleep-window rows, lifecycle timing rows, fifteen-consecutive-snack toothache trigger, persisted 60 pet-minute substitute toothache short-period window, toothache-to-sickness missed-call escalation, lights-left-on timing, clock-edit pause, real month-length date validation, and `CalendarEventRule` rows for birthday/New Year/winter/Easter/back-to-school/Halloween/Thanksgiving/Christmas/Santaclautchi notices are explicit constants/tables and are reported by growth coverage. Exact official Connection 2024 decay windows, official sleep windows, official lifecycle timing, official toothache short-period length, calendar cutscene art/wording, and other official probability/timing values remain source-gated"
SRC-019,P9.05,P9 Exact Data Tables,188,Implement shop/catalog table.,DATA/CODE/SIM,CODED-SUBSTITUTE,shop_catalog,mixed_source_art,"Exact shop sale frequency, cart duration, seasonal collision priority, random probability/reward tables, item animation timing, and final item/souvenir art.",exact source value plus rights-cleared or user-accepted final art,do not mark final until both exact source and final art evidence exist; current substitute must remain labeled substitute,do not mark final until both exact source and final art evidence exist; current substitute must remain labeled substitute,OFF-HOWTO; OFF-NEWS; WIKI-2024; WIKI-ITEM-2024; WIKI-CODE-2024; GG-SPECIAL-2024; CURL-2024-EVENTS,kCatalogOverrides; kCatalogRandomRules; kShopSaleRules; kShopVendorWindows,replace shop/catalog rule rows and regenerate catalog/resource reports,"CODED-SUBSTITUTE: 4-slot shop stock, explicit restock/sale/vendor window tables, birthday/holiday slot substitutions including Dec 23/24 Whole Cake plus Turkey, 50% sale pricing, Ojitchi cart vendor pool, password/secret overrides, source-named/priced food catalog slots 0-47 and 85-87, source-named/priced item catalog slots 62-95, source-named extension/duplicate rows for slots 96-143, corrected source labels/prices, parseable `CharacterFoodTasteRule` liked/disliked catalog-food rows with liked food filling Happy and disliked food clearing Happy, item-list liked-by-all Yogurt/Steak rules, child+/teen+/adult-only item-use gates, reusable/single-use corrections, fixed Ticket 1-5 souvenir awards, Music Disc/Boom Box dependency and break chance, Make-Up/Mirror dependency, Shaver/Oyajitchi restriction, Tama Drink sickness guard, gendered Action Figure/Doll enjoyment, source-shaped Plant/Shovel/Chest/Lamp/Fishing Pole random reward/penalty/break behavior, explicit `CatalogRandomRule` rows for substitute branch counts/point rewards/Lamp break chance, Chest/Lamp exclusive item awards, Fishing Pole trash-retain/reward-destroy behavior, full per-catalog quantity storage with v6-sized save migration, catalog-owned cleanup when consumable stock reaches zero, catalog food/item total storage caps, Hair Gel cosmetic consumption, ITEM-page 160-row cursor routing, icon routing, use-scene routing, 160 distinct catalog `visualTraits` overlays, 160 explicit catalog C++ preview rows, 12 official-source item-icon overrides, a 152-row catalog item semantic-status proof, 64 per-memory souvenir C++ rows, an official souvenir semantic proof manifest, and two official-source souvenir overrides are coded; ambiguous food-taste source rows, sale frequency, exact cart availability duration, exact seasonal collision priority, exact random probability tables, exact reward amounts, exact item animation timing, most final per-item art, and final souvenir art remain open"
SRC-020,P9.06,P9 Exact Data Tables,189,Implement password/secret-code table.,DATA/CODE/SIM,CODED-SUBSTITUTE,visual_art,final_art,Accepted final per-item art for password/secret-code rewards.,rights-cleared C++ bitmap replacement row or explicit user acceptance,do not mark final until replacement art is accepted; current substitute must remain labeled substitute,do not mark final until replacement art is accepted; current substitute must remain labeled substitute,OFF-HOWTO; OFF-CHAR; LOCAL-GIF; resource_drawing_spec; user-accepted replacement pack,kPasswordRewards; kSecretCodeRewards,replace C++ bitmap rows or mark user-accepted final art in the manifest,"CODED-SUBSTITUTE: 32 password values plus 7 shop secret codes, Hohotchi replacement, Honey/Love Potion next-link boost, repeatable Clock/RC Car/Hohotchi, and temporary Nyatchi/Hohotchi costume projection coded; exact per-item art open"
SRC-021,P9.07,P9 Exact Data Tables,190,Implement game reward table.,DATA/CODE/SIM,CODED-SUBSTITUTE,game_rewards,exact_source,Official 2024 low-score table and Bump/Sprint probability curves.,"official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,OFF-HOWTO; OFF-MANUAL; WIKI-2024; TAMATALK-BUMP-V3; TAMATALK-MEMORY-V3; HW-TECHO,kGameRewardRules; kBumpPrizeChart; kGameScorePrizePercent,replace explicit reward/probability table rows and regenerate coverage,"CODED-SUBSTITUTE: sourced top-prize table is coded; known-length games use source-length round/score caps for Get 100, Bump 8, Flag 9, Heading 20, Memory max-pattern 8 with 20 scored pattern rounds, Sprint 8, and Hoops 30; perfect-care reversal tests against the active per-game score cap; Memory now uses the sourced 20-pattern A/B/C cadence plus a compact display window instead of single-key rounds; Bump uses an explicit V3-style 0-8 round by four-weight-band prize chart with 2400/1800/1200/600 perfect prizes and no longer boosts score directly for heavier pets; wallet gains clamp at 9,999 Gotchi Points; game entry refuses at stage base weight through `StageBaseWeightRule` rows and game wins reduce weight only down to that base; Sprint weight direction is modeled in mechanics; non-Bump low-score prizes map long scores through an explicit five-tier curve, and `GamePacingRule` rows expose each game's source goal, firmware round count, score cap, timeout, and input flags. Exact official 2024 low-score table and Bump/Sprint probability curves remain substitute"
