id,group,section,source_log_line,case,expected,result_single,result_64x64,result_128x128,acceptance_status,source_readiness,requires,proof_type,screen_scope,remaining_gate,suggested_route,evidence_notes,source_evidence
HW-REF-004,refresh,Refresh Acceptance,235,Notice/result messages,Remain visible long enough after synchronous partial refresh.,TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW notice duration observation,Trigger a notice or game result; verify it remains visible long enough to read.,,Notice clear waits for a minimum visible interval after the synchronous refresh path has rendered it.
HW-REF-005,refresh,Refresh Acceptance,236,Food scene,Bite/result phases visible.,TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW scene pacing / readability observation,"Open FOOD, run meal and snack scenes, and capture bite/refuse/result phases.",,"Food/snack scene has selected prop, bite travel, crumbs, done, refusal routing, and explicit meal/snack pacing."
HW-REF-006,refresh,Refresh Acceptance,237,Toilet scene,Sweep/removal phases visible.,TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW scene pacing / readability observation,"Trigger visible mess if needed, open TOILET, and capture sweep/removal phases.",,"Toilet scene has visible mess, sweep, progressive removal, done, no-mess routing, and explicit scene pacing."
HW-REF-007,refresh,Refresh Acceptance,238,Medicine scene,Sick/dose/recovery/refusal phases visible.,TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW scene pacing / readability observation,Use MEDS while sick/tooth state is visible; capture dose/recover/refuse phases.,,"Medicine scene has sick/tooth, dose, recover, refusal routing, and explicit scene pacing."
HW-REF-008,refresh,Refresh Acceptance,239,Discipline scene,TIME OUT/PRAISE/invalid/missed branches visible.,TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW scene pacing / readability observation,"Use TRAIN/discipline branches for TIME OUT, PRAISE, invalid, and missed-call cases.",,"Discipline scene has TIME OUT, PRAISE, invalid, call, missed routing, and explicit scene pacing."
HW-REF-009,refresh,Refresh Acceptance,240,Lights dark-room,"Stable dark frame, no progressive white-out.",TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW scene pacing / readability observation,Use LIGHTS ON/OFF around sleep/dark-room states; record stability and readability.,,"Lights scene uses low-ink dark-room pattern, ON/OFF selector, sleep/wake/invalid routing, and explicit scene pacing."
HW-REF-010,refresh,Refresh Acceptance,241,Shop scene,Booth/shopkeeper/purchase feedback visible.,TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW scene pacing / readability observation,"Open shop/catalog purchase flow; capture booth, keeper, item preview, and buy feedback.",,"Shop scene has booth, shopkeeper, preview, buy-result routing, and explicit catalog pacing."
HW-REF-011,refresh,Refresh Acceptance,242,Password entry,Digit editing and result feedback visible.,TODO,,,TODO,READY,single_device,scene_video_or_photo_sequence,active_device_profile,HW scene pacing / readability observation,Open password entry; edit digits and submit both success and failure examples.,,"Password and shop-secret entry have digit/symbol editing, result handling, and explicit catalog pacing."
HW-REF-012,refresh,Refresh Acceptance,243,Get game,Input and reward/miss readable at panel speed.,TODO,,,TODO,READY,single_device,gameplay_video,active_device_profile,HW active-game speed / readability observation,"Open GAME->GET; record input, catch/miss, and reward result.",,Get game has model input/result handling and display sprite routing; active game target intervals are reported in parity coverage.
HW-REF-013,refresh,Refresh Acceptance,244,Bump game,Meter/push/result readable at panel speed.,TODO,,,TODO,READY,single_device,gameplay_video,active_device_profile,HW active-game speed / readability observation,"Open GAME->BUMP; record meter, push, fall/result, and reward result.",,Bump game has model input/result handling and display sprite routing; active game target intervals are reported in parity coverage.
HW-REF-014,refresh,Refresh Acceptance,245,Flag game,Prompt/response/result readable at panel speed.,TODO,,,TODO,READY,single_device,gameplay_video,active_device_profile,HW active-game speed / readability observation,"Open GAME->FLAG; record prompt, response, miss/good, and reward result.",,Flag game has model input/result handling and display sprite routing; active game target intervals are reported in parity coverage.
HW-REF-015,refresh,Refresh Acceptance,246,Heading game,Ball path/hit/miss readable at panel speed.,TODO,,,TODO,READY,single_device,gameplay_video,active_device_profile,HW active-game speed / readability observation,"Open GAME->HEADING; record ball path, hit/miss, and reward result.",,Heading game has model input/result handling and display sprite routing; active game target intervals are reported in parity coverage.
HW-REF-016,refresh,Refresh Acceptance,247,Memory game,Reveal/replay/wrong/GOOD readable at panel speed.,TODO,,,TODO,READY,single_device,gameplay_video,active_device_profile,HW active-game speed / readability observation,"Open GAME->MEMORY; record reveal, replay, wrong, good, and reward result.",,Memory game has model input/result handling and display sprite routing; active game target intervals are reported in parity coverage.
HW-REF-017,refresh,Refresh Acceptance,248,Sprint game,Repeated input and finish readable at panel speed.,TODO,,,TODO,READY,single_device,gameplay_video,active_device_profile,HW active-game speed / readability observation,"Open GAME->SPRINT; record repeated input, finish, and reward result.",,Sprint game has model input/result handling and display sprite routing; active game target intervals are reported in parity coverage.
HW-REF-018,refresh,Refresh Acceptance,249,Hoops game,Aim/shot/made/miss readable at panel speed.,TODO,,,TODO,READY,single_device,gameplay_video,active_device_profile,HW active-game speed / readability observation,"Open GAME->HOOPS; record aim, shot, made/miss, and reward result.",,Hoops game has model input/result handling and display sprite routing; active game target intervals are reported in parity coverage.
HW-SPR-001,sprite_proof,Sprite Proof Acceptance,258,egg.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kEgg0`, `kEgg1`, `kEggCrack0`, `kEggCrack1`, `kEggHatch` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-002,sprite_proof,Sprite Proof Acceptance,259,baby.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kBaby0`, `kBaby1` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-003,sprite_proof,Sprite Proof Acceptance,260,child.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kChild0`, `kChild1` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-004,sprite_proof,Sprite Proof Acceptance,261,teen.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kTeen0`, `kTeen1` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-005,sprite_proof,Sprite Proof Acceptance,262,adult.mametchi.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kAdult0`, `kAdult1` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-006,sprite_proof,Sprite Proof Acceptance,263,food.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kEatMeal0`, `kEatMeal1`, `kEatSnack0`, `kEatSnack1`, `kFoodCrumbs`, `kFoodRefuse`, `kFoodDone` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-007,sprite_proof,Sprite Proof Acceptance,264,toilet.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kToiletMess`, `kToiletSweep0`, `kToiletSweep1`, `kToiletDone`, `kToiletNoMess` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-008,sprite_proof,Sprite Proof Acceptance,265,medicine.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kMedicineSickSkull`, `kMedicineSickTooth`, `kMedicineDose0`, `kMedicineDose1`, `kMedicineRecover`, `kMedicineRefuse` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-009,sprite_proof,Sprite Proof Acceptance,266,discipline.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kDisciplineTimeout`, `kDisciplinePraise`, `kDisciplineInvalid`, `kAttentionCall`, `kAttentionMissed` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-010,sprite_proof,Sprite Proof Acceptance,267,lights.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kLightsOn`, `kLightsOff`, `kLightsSelectorOn`, `kLightsSelectorOff`, `kLightsWake`, `kLightsInvalid` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-011,sprite_proof,Sprite Proof Acceptance,268,shop.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kShopBooth`, `kShopkeeperIdle`, `kShopkeeperSurprise`, `kShopkeeperHappy`, `kShopItemPreview`, `kShopBuyOk`, `kShopBuyNoMoney`, `kShopBuyFull`, `kShopSoldOut` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-012,sprite_proof,Sprite Proof Acceptance,269,game.get.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kGameGetNote`, `kGameGetBad`, `kGameGetCatch`, `kGameGetMiss` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-013,sprite_proof,Sprite Proof Acceptance,270,game.bump.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kGameBumpMeter`, `kGameBumpPush`, `kGameBumpFall` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-014,sprite_proof,Sprite Proof Acceptance,271,game.flag.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kGameFlagLeft`, `kGameFlagRight`, `kGameFlagBoth`, `kGameFlagGood`, `kGameFlagMiss` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-015,sprite_proof,Sprite Proof Acceptance,272,game.heading.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kGameHeadingBall`, `kGameHeadingHit`, `kGameHeadingMiss` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-016,sprite_proof,Sprite Proof Acceptance,273,game.memory.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kGameMemoryReveal`, `kGameMemoryCursor`, `kGameMemoryGood`, `kGameMemoryWrong` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-017,sprite_proof,Sprite Proof Acceptance,274,game.sprint.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kGameSprintRunner0`, `kGameSprintRunner1`, `kGameSprintFinish` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-018,sprite_proof,Sprite Proof Acceptance,275,game.hoops.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kGameHoopsHoop`, `kGameHoopsShoot`, `kGameHoopsMade`, `kGameHoopsMiss` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-019,sprite_proof,Sprite Proof Acceptance,276,love.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kLovePartner`, `kLoveBaby` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-020,sprite_proof,Sprite Proof Acceptance,277,family.*,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,"Frames `kLoveBaby`, `kParentDepart` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof."
HW-SPR-021,sprite_proof,Sprite Proof Acceptance,278,passaway,"Frame family renders with correct anchor, clipping, and readability in both 64x64 and 128x128 main scenes.",,TODO,TODO,TODO,READY,single_device_both_screen_profiles,photo_pair_or_short_video,compact_64x64_and_large_128x128_main_scene,HW 64x64 and 128x128 sprite-proof observation,Hold Email from HOME to enter sprite proof; navigate to this frame family; capture compact 64x64 and large 128x128 proof if both display profiles are available.,,Frames `kPassed` are enum/render/proof labelled; `Mail/C HOLD` opens sprite proof.
HW-DUAL-001,two_device,Two-Device Acceptance,284,Visit success,Both devices show compatible standby/send/receive/result flow.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW two-device visible-flow observation,"Run CONNECT->VISIT on two LoRa builds; record standby, send, receive, and result on both screens.",,LINK contract plus source Visit receive/reply path are present.
HW-DUAL-002,two_device,Two-Device Acceptance,285,Visit timeout,Timeout changes no pet state.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW timeout observation,Open VISIT standby on one device only; record timeout and confirm no pet state changes.,,30 s standby timeout enters TIMEOUT result without receive mutation.
HW-DUAL-003,two_device,Two-Device Acceptance,286,Present success,Sender and receiver show matching gift result.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW two-device visible-flow observation,Run CONNECT->PRESENT with a sendable catalog item; record sender debit and receiver award.,,"Present packets can carry exact catalog item ids, sender debit and receiver award paths are coded, and the result notice path is present."
HW-DUAL-004,two_device,Two-Device Acceptance,287,Present full inventory,Receiver refuses or handles full stock visibly.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW receiver-full visible-flow proof,"Fill receiver inventory/stock first, then send PRESENT and record the visible refusal path.",,Received catalog Presents check receiver catalog stock before award and show `InventoryFull` instead of clamping silently.
HW-DUAL-005,two_device,Two-Device Acceptance,288,Game success,Both devices resolve the same visible game outcome.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW two-device visible-flow observation,Run CONNECT->GAME with matching game item ownership; record both devices resolving the same result.,,"Connection Game packets carry game kind/score, require matching item ownership, and resolve through the model."
HW-DUAL-006,two_device,Two-Device Acceptance,289,Love reject,Ineligible pair shows visible rejection/no baby.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW two-device visible-flow observation,Run LOVE with an ineligible pair; record visible rejection and no baby state.,,Love compatibility gate and rejection notice are coded.
HW-DUAL-007,two_device,Two-Device Acceptance,290,Love partner,Eligible pair shows partner flow.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW two-device visible-flow observation,Run LOVE with an eligible pair; record partner promotion flow.,,Love partner promotion and partner notice are coded.
HW-DUAL-008,two_device,Two-Device Acceptance,291,Love baby,Eligible pair enters baby/next generation flow.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW two-device visible-flow observation,Run LOVE with an eligible pair through baby/next-generation entry; record both devices.,,Compatible Love can start baby/parent-care and next-generation flow.
HW-DUAL-009,two_device,Two-Device Acceptance,292,LoRa parity,Same visible results as IR-visible contract.,TODO,,,TODO,READY,two_lora_devices,dual_device_video,active_device_profile_on_both_devices,DUAL/HW LoRa equivalence observation,Repeat one successful and one failed CONNECT flow over LoRa and compare to the IR-visible contract screens.,,Serial and LoRa carriers share `FriendPacket` and `acceptIncomingFriendPacket()`.
